,Title,Artist,ReleaseDate,Lyrics,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
0,1985,Bowling For Soup,2004,"[Verse 1]
Debbie just hit the wall, she never had it all
One Prozac a day, husband's a CPA
Her dreams went out the door when she turned 24
Only been with one man, what happened to her plan?
She was gonna be an actress, she was gonna be a star
She was gonna shake her ass on the hood of Whitesnake’s car
Her yellow SUV is now the enemy
Looks at her average life, and nothing has been alright

[Hook]
Since Bruce Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she’s uncool
Cause she's still preoccupied
With 19, 19, 1985

[Verse 2]
She’s seen all the classics, she knows every line
Breakfast Club, Pretty in Pink, even Saint Elmo’s Fire
She rocked out to Wham, not a big Limp Bizkit fan
Thought she’d get a hand on a member of Duran Duran
Where’s the mini-skirt made of snake skin?
And who’s the other guy that's singing in Van Halen?
When did reality become TV?
Whatever happened to sitcoms, game shows?

[Hook]
On the radio was Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she’s uncool
Cause she's still preoccupied
With 19, 19, 1985

[Bridge]
She hates time, make it stop
When did Mötley Crüe become classic rock?
And when did Ozzy become an actor?
Please make this stop, stop, stop
And bring back

[Hook]
Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she’s uncool
Cause she's still preoccupied
With 19, 19, 1985
Bruce Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she’s uncool
Cause she's still preoccupied
With 19, 19, 1985",70,0.000242,0.606,0.887,0,0.337,-4.404,0.0598,0.903,119.974
1,One Thing,Marshmello,2019-06-21,"[Verse 1]
I've cheated and I’ve lied
I've broke down and I've cried
I’ve got nothing to hide no more
I've loved and I've hurt
Broken people down with words
More grace than I deserve, for sure

[Pre-Chorus]
Known to be crazy, known to be wild
Mama had herself a little devilish child
Ain't no stranger to the troubles at my door

[Chorus]
I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right
Been the kinda guy girls mamas don't like
Runnin’ with the wrong crowd on the wrong nights
’Cause I've been wrong about a million times
But I got one thing right, you

[Post-Chorus]
(Baby, I got one thing right)
Mmm
(Baby, I got one thing right)
Yeah, I got you
(Baby, I got one thing right)
I got one thing right

[Verse 2]
You saw right through my pain
Kept us patient while I changed
Never even crossed your mind to walk away (To walk away)

[Pre-Chorus]
When I was gettin’ crazy, reckless, and wild
Actin' like my mama's little devilish child
It took a heart like yours to find its place (Find its place)

[Chorus]
I've been at the wrong place at the wrong time
Chasin’ all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right
Been the kinda guy girls mamas don't like
Runnin' with the wrong crowd on the wrong nights
'Cause I've been wrong about a million times
But I got one thing right, you

[Post-Chorus]
(Baby, I got one thing right)
Oh
(Baby, I got one thing right)
Yeah, I got you
(Baby, I got one thing right)
I got one thing right

[Bridge]
I've been wrong about a million times
But I got one thing right, I got one thing right

[Chorus]
I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right (I got one thing right)
Been the kinda guy girls mamas don't like
Runnin' with the wrong crowd on the wrong nights
'Cause I've been wrong about a million times
But I got one thing right, you

[Post-Chorus]
(Baby, I got one thing right)
Oh
(Baby, I got one thing right)
Yeah, I got you
(Baby, I got one thing right)
I got one thing right
I've been at the wrong place at the wrong time
Chasin' all the wrong things most of my life
Been every kinda lost that you can't find
But I got one thing right (I got one thing right)",87,0.0667,0.659,0.623,0,0.582,-2.253,0.0451,0.439,88.042
2,Just A Friend (2002),Mario,2002-07-22,"[Intro]
You Ready for me

[Verse 1]
I wanna know your name and
I wanna know if you gotta man (I wanna know)
I wanna know everything
I wanna your number and if I can come over and
I wanna know what you like
I wanna know so I can do it all night
But you're telling me I'm just a friend
You're telling me I'm just a friend

[Chorus]
Oh baby you (oh baby you)
Got what I need (got what I need)
But you say I'm just a friend (say I'm just a friend)
But you say I'm just a friend
Cause I can be your (cause I can be your)
Fantasy
But you say I'm just a friend (say I'm just a friend)
But you say I'm just a friend

[Verse 2]
I wanna know you in and out
I wanna know what you're all about (I wanna know)
I wanna know what makes you laugh
I wanna know about your past
I wanna know how you move
I wanna know so I can move too (I wanna know)
But you're telling me I'm just a friend
Telling me I'm just a friend

[Chorus 2x]+(Mario)
Oh baby you (oh baby you)
Got what I need (got what I need, yeah)
But you say I'm just a friend (say I'm just a friend)
But you say I'm just a friend
Cause I can be your (girl I can be your)
Fantasy (fantasy, yeah)
But you say I'm just a friend (say I'm just a friend)
But you say I'm just a friend


[Mario]
Oh can you give me one reason why (why)
You wouldn't want this kinda guy
Cause I stay dipped, I stay laced
And I know, you know I'm fly
Girl, stop playing games with me
And let's get it on tonight
You got nothing to lose
Let me do what I do

[Chorus 2x]
Oh baby you
Got what I need (got what I need)
But you say I'm just a friend (say I'm just a friend)
But you say I'm just a friend
(Just wanna be your)
Cause I can be your fantasy (fantasy, girl)
But you say I'm just a friend (but you say )
But you say I'm just a friend

[Breakdown]
You can call me anytime you like (oh anytime)
It doesn't matter day or night (said it doesn't matter)
We can do whatever you (ohh)
Wanna do it's up to you
Don't fight the feeling that you feel (don't fight the feeling)
I can tell that its real (oh girl)
So won't you help me understand
Why you say I'm just a friend

[Chorus]",64,0.00541,0.538,0.677,0,0.236,-6.099,0.187,0.913,132.346
3,22,Taylor Swift,2012-10-22,"[Verse 1]
It feels like a perfect night
To dress up like hipsters
And make fun of our exes, uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers, uh-uh, uh-uh

[Pre-Chorus]
Yeah
We're happy, free, confused, and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh

[Chorus]
I don't know about you, but I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, 22

[Verse 2]
It seems like one of those nights
This place is too crowded
Too many cool kids, uh-uh, uh-uh
(Who's Taylor Swift, anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreaming
Instead of sleeping

[Pre-Chorus]
Yeah
We're happy, free, confused, and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh

[Chorus]
(Hey!)
I don't know about you, but I'm feeling 22
Everything will be alright (ooh) if you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if (alright)
We just keep dancing like we're 22 (oh, oh, oh, oh, oh)
22 (I don't know about you)
22, 22

[Bridge]
It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you
Ooh, ooh, yeah

[Chorus]
(Hey!)
I don't know about you
But I'm feeling 22
Everything will be alright if (ooh) you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if we just keep dancing like we're
22 (whoa, oh)
22 (dancing like)
22 (yeah, yeah), 22, (yeah, yeah, yeah)

[Outro]
It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you",61,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,0.668,104.007
4,4 Minutes,Madonna,2009-09-18,"[Intro: Timbaland]
I'm outta time, and all I got is four minutes
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye!
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, ow, ow, c'mon
Ah. yeah, ha, breakdown, c'mon

[Interlude: Justin Timberlake]
Hey, uh, c'mon, Madonna

[Verse 1: Madonna & Justin Timberlake]
C'mon boy
I've been waiting for somebody to pick up my stroll
Well, don't waste time
Give me a sign, tell me how you wanna roll
I want somebody to speed it up for me
Then take it down slow
There's enough room for both
Well, I can handle that
You just gotta show me where this at
Are you ready to go?
Are you ready to go?

[Pre-Chorus: Madonna & Justin Timberlake]
If you want it, come and get it
If you thought it, it better be what you want
If you feel it, it must be real just
Say the word, and I'mma give you what you want

[Chorus: Madonna & (Justin Timberlake)]
The time is waiting
(We only got four minutes to save the world!)
No hesitating
Grab a boy (then grab a girl!)
Time is waiting
(We only got four minutes to save the world!)
No hesitating
(We only got four minutes, heh a-four minutes)

[Post-Chorus: Justin Timberlake & (Madonna)/Both]
So keep it up, keep it up
Don't be a pri... (Hey!) ..ma donna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock, tick tock)
That's right, keep it up, keep it up
Don't be a pri... (Hey!) ..ma donna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock, tick tock)

[Verse 2: Madonna & Justin Timberlake]
Sometimes I think what I need is a ""you"" intervention, yeah
And you know I can tell that you like it
And that it's good, by the way that you move, oh hey
The road to hell is paved with good intentions, yeah
But if I die tonight
At least I can say I did what I wanted to do
Tell me, how 'bout you?

[Pre-Chorus: Madonna & Justin Timberlake]
If you want it, you already got it
If you thought it, it better be what you want
If you feel it, it must be real just
Say the word, and I'mma give you what you want

[Chorus: Madonna & (Justin Timberlake)]
The time is waiting
(We only got four minutes to save the world!)
No hesitating
Grab a boy (then grab a girl!)
Time is waiting
(We only got four minutes to save the world!)
No hesitating
(We only got four minutes, heh a-four minutes)

[Post-Chorus: Justin Timberlake & (Madonna)/Both]
So keep it up, keep it up
Don't be a pri... (Hey!) ..ma donna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock, tick tock)
That's right, keep it up, keep it up
Don't be a pri... (Hey!) ..ma donna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock, tick tock)

[Outro: Timbaland & (Madonna)]
Breakdown, yeah
(Tick tock, tick tock, tick tock...)
Yeah, uh
(Tick tock, tick tock, tick tock...)
I only got four minutes to save the world",70,0.00994,0.753,0.931,0.00696,0.234,-4.922,0.0652,0.767,113.029
5,7 Rings,Ariana Grande,2019-02-08,"[Verse 1]
Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

[Pre-Chorus]
My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

[Chorus]
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

[Verse 2]
Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

[Pre-Chorus]
My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

[Chorus]
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

[Verse 3]
Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got a juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

[Chorus]
I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)",90,0.592,0.778,0.317,0,0.0881,-10.732,0.334,0.327,140.048
6,7 Things,Miley Cyrus,2008-01-01,"[Intro]
Sha
Sha
Sha

[Verse 1]
I probably shouldn't say this
But at times, I get so scared
When I think about the previous
Relationship we've shared
It was awesome, but we lost it
It's not possible for me not to care
And now we're standing in the rain
But nothing's ever gonna change until you hear, my dear

[Chorus]
The seven things I hate about you
The seven things I hate about you, oh, you
You're vain, your games, you're insecure
You love me, you like her
You make me laugh, you make me cry
I don't know which side to buy
Your friends, they're jerks
When you act like them, just know, it hurts
I wanna be with the one I know
And the seventh thing I hate the most that you do
You make me love you

[Verse 2]
It's awkward and silent as I wait for you to say
But what I need to hear now, your sincere apology
When you mean it, I'll believe it
If you text it, I'll delete it
Let's be clear (Clear, clear)
Oh, I'm not coming back
You're taking seven steps here

[Chorus]
The seven things I hate about you
You're vain, your games, you're insecure
You love me, you like her
You make me laugh, you make me cry
I don't know which side to buy
Your friends, they're jerks
When you act like them, just know, it hurts
I wanna be with the one I know
And the seventh thing I hate the most that you do
You make me love you

[Bridge]
And compared to all the great things
That would take too long to write
I probably should mention the seven that I like

[Chorus]
The seven things I like about you
Your hair, your eyes, your old Levi's
When we kiss, I'm hypnotized
You make me laugh, you make me cry
But I guess that's both I'll have to buy
Your hand in mine
When we're intertwined, everything's alright
I wanna be with the one I know
And the seventh thing I like the most that you do
You make me love you

[Outro]
Sha, sha
You do, oh
Ooh-ooh-ooh-ooh, ooh-ooh-ooh (La, la, la)
Ooh-ooh-ooh-ooh, ooh-ooh-ooh",63,0.0232,0.59,0.903,0,0.0786,-4.478,0.0363,0.542,107.023
7,7 Years,Lukas Graham,2016-04-01,"[Chorus 1]
Once I was seven years old my momma told me
Go make yourself some friends or you'll be lonely
Once I was seven years old

[Verse 1]
It was a big big world, but we thought we were bigger
Pushing each other to the limits, we were learning quicker
By eleven smoking herb and drinking burning liquor
Never rich so we were out to make that steady figure

[Chorus 2]
Once I was 11 years old my daddy told me
Go get yourself a wife or you'll be lonely
Once I was 11 years old

[Verse 2]
I always had that dream like my daddy before me
So I started writing songs, I started writing stories
Something about that glory just always seemed to bore me
Cause only those I really love will ever really know me

[Chorus 3]
Once I was 20 years old, my story got told
Before the morning sun, when life was lonely
Once I was 20 years old

(Lukas Graham!!!)

[Verse 3]
I only see my goals, I don't believe in failure
Cause I know the smallest voices, they can make it major
I got my boys with me at least those in favor
And if we don't meet before I leave, I hope I'll see you later

[Chorus 4]
Once I was 20 years old, my story got told
I was writing 'bout everything, I saw before me
Once I was 20 years old
Soon we'll be 30 years old, our songs have been sold
We've traveled around the world and we're still roaming
Soon we'll be 30 years old

[Verse 4]
I'm still learning about life
My woman brought children for me
So I can sing them all my songs
And I can tell them stories
Most of my boys are with me
Some are still out seeking glory
And some I had to leave behind
My brother I'm still sorry

[Bridge]
Soon I'll be 60 years old, my daddy got 61
Remember life and then your life becomes a better one
I made a man so happy when I wrote a letter once
I hope my children come and visit, once or twice a month

[Chorus 5]
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can warm me
Soon I'll be 60 years old
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can hold me
Soon I'll be 60 years old

[Outro]
Once I was seven years old, my momma told me
Go make yourself some friends or you'll be lonely
Once I was seven years old

Once I was seven years old",80,0.287,0.765,0.473,0,0.391,-5.829,0.0514,0.34,119.992
8,ABC,The Jackson 5,1970-05-08,"[Michael]
A buh-buh buh buh
[J5]
A buh-buh buh buh

[Michael]
You went to school to learn, girl
Things you never, never knew before...

[Jermaine-]
Like ""I before E, except after C""

[Michael]
And why two plus two makes four
Now now now, I'm gonna teach you...
[J5]
Teach you, teach you

[Michael]
All about love, yeah!
[J5]
All about love!

[Jermaine-]
Sit yourself down, take a seat
All you gotta do is repeat after me

[Chorus]
[J5]
A, B, C
[Michael]
It's easy as...
[J5]
1, 2, 3
[Michael]
Or simple as...
[J5]
Do-Re-Mi
[Michael]
A, B, C, 1, 2, 3, baby you and me, girl!
[J5]
A, B, C
[Michael]
Easy as...
[J5]
1, 2, 3
[Michael]
Or simple as...
[J5]
Do-Re-Mi
[Michael]
A, B, C, 1, 2, 3, baby you and me, girl!

[Tito]
Come on, let me love  you just a little bit!
[Jackie]
Come on, let me love you just a little bit!
[Jermaine]
I'm-a gonna teach how to sing it out!
[Michael]
Come on, come on, come on
Let me show you what it's all about!

Reading, writing, arithmetic
Are the branches of the learning tree

[Jermaine]
But without the roots of love every day, girl...

[Michael]
Your education ain't complete
T-t-t-teachers gonna show you

[J5]
Show you, show you

[Michael]
How to get an ""A""!

[J5]
Nyah nyah nyah nyah!

[Jermaine:-]
Spell me you
[J5]
You add the two!
[Jermaine-]
Listen to me baby, that's all you gotta do!

[Chorus]
[J5]
A, B, C
[Michael]
It's easy as...
[J5]
1, 2, 3
[Michael]
Or simple as Do-Re-Mi
[Michael]
A, B, C, 1, 2, 3, baby you and me, girl!

[J5]
A, B, C, 1, 2, 3
[Michael]
It's easy, it's like counting up to three
[J5]
Do-Re-Mi, A, B, C
[Michael]
Sing a simple melody
That's how easy love can be
[All]
That's how easy love can be
[Michael]
Sing a simple melody, 1, 2, 3, you and ME!

[Bridge]
[Michael]
Sit down, girl!
I think I love you!
No!
Get up, girl!
Show me what you can do!

Shake it, shake it, baby, come on now!
Shake it, shake it, baby, ooo oooh!
Shake it, shake it, baby, huh!
1, 2, 3, baby, oo ooo!
A, B, C, baby, nah nah!
Do-Re-Mi, baby, huh!
That's how easy love can be

[J5]
A, B, C, 1, 2, 3
[Michael]
It's easy, it's like counting up to three
[J5]
Do-Re-Mi, A, B, C
[Michael]
Sing a simple melody
That's how easy love can be

[Jermaine]
I'm-a gonna teach you how to sing it out!
[Michael]
Come on, come on, come on
Let me show you what it's all about!

[Michael]
A, B, C, it's easy, it's like counting up to three
Sing a simple melody
That's how easy love can be

[Jermaine]
I'm-a gonna teach you how to sing it out, sing it out, sing it out!
[Michael]
Oh! Oh! Oh, baby!

[Michael]
A, B, C, it's easy, it's like counting up to three
Sing a simple melody
That's how easy love can be!",65,0.486,0.715,0.678,0.000192,0.15,-11.842,0.0475,0.947,94.769
9,Accidentally In Love,Counting Crows,2004-01-01,"[Verse 1]
So, she said, ""What's the problem, baby?""
What's the problem? I don't know
Well, maybe I'm in love (love)
Think about it, every time I think about it
Can't stop thinking 'bout it
How much longer will it take to cure this?
Just to cure it, 'cause I can't ignore it if it's love (love)
Makes me wanna turn around and face me
But I don't know nothing 'bout love, no

[Chorus 1]
Come on, come on
Turn a little faster
Come on, come on
The world will follow after
Come on, come on
Because everybody's after love

[Verse 2]
So I said, I'm a snowball running
Running down into the spring that's coming all this love
Melting under blue skies
Belting out sunlight
Shimmering love
Well, baby, I surrender
To the strawberry ice cream
Never ever end of all this love
Well, I didn't mean to do it
But there's no escaping your love, oh
These lines of lightning
Mean we're never alone
Never alone, no, no

[Chorus 2]
Come on, come on
Move a little closer
Come on, come on
I wanna hear you whisper
Come on, come on
Settle down inside my love
Come on, come on
Jump a little higher
Come on, come on
If you feel a little lighter
Come on, come on
We were once upon a time in love

[Bridge]
We're accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally

[Breakdown]
I'm in love, I'm in love
I'm in love, I'm in love
I'm in love, I'm in love
Accidentally
I'm in love, I'm in love
I'm in love, I'm in love
I'm in love, I'm in love
Accidentally

[Chorus 3]
Come on, come on
Spin a little tighter
Come on, come on
And the world's a little brighter
Come on, come on
Just get yourself inside her love
I'm in love",60,0.0714,0.557,0.922,2.12e-06,0.0855,-3.642,0.0381,0.791,137.977
